Gaze 3D position left X, Gaze 3D position left Y, Gaze 3D position left Z, Gaze 3D position right X,Gaze 3D position right Y,Gaze 3D position right Z,Pupil diameter left,Pupil diameter right, HR, GSR, ConationLevel
100.9124008,65.2694046,113.1080872,56.52807426,47.60303345,183.4099976,3.1,2.75,85.83,0.809461465,0
32.6517746,32.13897858,102.1638,14.77607384,29.49229431,97.44295044,3.1,2.86,85.83,0.809461465,0
4.30667038,8.803539276,99.77297974,24.57796745,58.98458862,188.8124878,3.1,2.9,85.83,0.809461465,0
46.7671814,18.11444702,88.66603394,24.57796745,58.98458862,188.8124878,3.1,2.91,85.83,0.809461465,0
63.65414734,31.26431274,91.32485962,24.57796745,58.98458862,188.8124878,3.11,2.92,85.83,0.809461465,0
78.24608612,32.64432678,91.58371582,39.86624413,91.62891541,279.8784912,3.11,2.92,86.84,0.79826165,0
82.41381073,35.39594727,92.21904907,44.03396873,94.38053589,280.5138245,3.11,2.93,86.84,0.79826165,0
83.98369293,36.49150391,92.57314453,43.11676083,73.14029083,186.461676,3.11,2.93,86.84,0.79826165,0
84.59881592,36.98762817,92.7756897,36.8469532,69.1953186,185.0981262,3.12,2.93,86.84,0.79826165,0
84.93159637,37.42912903,92.98125,34.2458725,67.40921021,184.3039001,3.12,2.93,86.84,0.79826165,0
85.13358765,37.65509949,93.10670166,31.97767181,67.1473938,183.9585266,3.13,2.93,86.84,0.79826165,0
85.27713089,37.78403015,93.2001709,22.31932144,37.78403015,92.6824585,3.13,2.93,86.84,0.781864263,0
45.18533325,22.43685913,6.421789551,30.57655334,75.5680603,182.1320068,3.13,2.93,86.84,0.781864263,0
43.23098297,49.83829956,91.32485962,30.57655334,75.5680603,182.1320068,3.13,2.93,86.84,0.781864263,0
28.63904419,48.45828552,91.06600342,15.28827667,42.92373352,91.06600342,3.14,2.94,86.84,0.781864263,0
24.47131958,45.70666504,90.43067017,11.12055206,40.17211304,90.43067017,3.14,2.94,86.84,0.781864263,0
22.90143738,44.6111084,90.07657471,9.550669861,39.0765564,90.07657471,3.15,2.94,86.84,0.781864263,0
22.28631439,44.11498413,89.87402954,8.935546875,38.58043213,89.87402954,3.15,2.94,86.84,0.781864263,0
21.95353394,43.67348328,89.66846924,8.602766418,38.13893127,89.66846924,3.15,2.94,86.84,0.777179818,0
21.75154266,43.44751282,89.54301758,8.400775146,37.91296082,89.54301758,3.15,2.94,86.84,0.777179818,0
